Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
449aAnrkYHyFP3vD8B5Pho,"6USv9qhCn6zfxlBQIYJ9qs","bowie box","14 minutes","Dominic Fike",2024-05-03,116333,56,spotify:user:dkim3530,2024-05-03T05:31:14Z,"alternative pop rock,pov: indie",0.604,0.329,9,-12.039,1,0.0345,0.888,0.545,0.114,0.369,126.006,3
6WTFHKrnZpwEBLRS10Ylqs,"6USv9qhCn6zfxlBQIYJ9qs","misses","14 minutes","Dominic Fike",2024-05-03,74378,83,spotify:user:dkim3530,2024-05-03T05:35:28Z,"alternative pop rock,pov: indie",0.578,0.509,2,-6.229,1,0.0279,0.13,0.734,0.344,0.586,119.945,4
5wyBvbIXWlYYz0qQ3KveeU,"6USv9qhCn6zfxlBQIYJ9qs","to say to say","14 minutes","Dominic Fike",2024-05-03,80968,55,spotify:user:dkim3530,2024-05-03T05:35:32Z,"alternative pop rock,pov: indie",0.621,0.514,0,-8.95,1,0.0344,0.017,0.836,0.408,0.68,82.064,4
4AmwnuAtTh4aK0GqPiwzJA,"6USv9qhCn6zfxlBQIYJ9qs","coast2coast","14 minutes","Dominic Fike",2024-05-03,65091,65,spotify:user:dkim3530,2024-05-03T05:35:35Z,"alternative pop rock,pov: indie",0.489,0.997,7,-5.529,1,0.0656,0.229,0.807,0.157,0.895,166.138,4
3zEN0ii6s4DHHBpnTp3RP7,"67hb7towEyKvt5Z8Bx306c","We Are The People","Walking On A Dream (10th Anniversary Edition)","Empire Of The Sun",2008-10-03,267373,77,spotify:user:,2024-07-03T04:00:00Z,"australian dance,australian electropop,dance rock,indietronica,neo-synthpop",0.675,0.781,4,-5.404,0,0.0306,0.0801,0.0143,0.422,0.534,122.989,4
0hDQV9X1Da5JrwhK8gu86p,"3TNt4aUIxgfy9aoaft5Jj2","Maps","Fever To Tell (Deluxe Remastered)","Yeah Yeah Yeahs",2003-04-29,219986,67,spotify:user:,2024-07-03T04:00:00Z,"alternative dance,alternative rock,art pop,dance-punk,garage rock,indie rock,modern rock,neo-synthpop,new rave",0.502,0.941,7,-5.194,1,0.0716,0.000346,0.319,0.553,0.124,119.783,4
1YLJVmuzeM2YSUkCCaTNUB,"1moxjboGR7GNWYIMWsRjgG","Dog Days Are Over","Lungs (Deluxe Edition)","Florence + The Machine",2009,251840,75,spotify:user:,2024-07-03T04:00:00Z,"baroque pop,modern rock,neo mellow,uk alternative pop",0.492,0.81,7,-5.315,1,0.0847,0.0416,0.00379,0.117,0.245,149.954,4
2lwwrWVKdf3LR9lbbhnr6R,"1yAwtBaoHLEDWAnWR87hBT","Float On","Good News For People Who Love Bad News","Modest Mouse",2004-04-05,208466,73,spotify:user:,2024-07-03T04:00:00Z,"alternative rock,chamber pop,indie rock,indietronica,modern rock,washington indie",0.649,0.888,6,-4.807,1,0.0293,0.013,0.00000223,0.0888,0.553,100.975,4
3FtYbEfBqAlGO46NUDQSAt,"0SwO7SWeDHJijQ3XNS7xEE","Electric Feel","Oracular Spectacular","MGMT",2007-12-14,229640,80,spotify:user:,2024-07-03T04:00:00Z,"alternative rock,indie rock,indietronica,modern rock,rock",0.763,0.803,1,-3.713,1,0.0351,0.0709,0.285,0.348,0.561,103.04,3
3stWWPN41byqp8loPdy92u,"56ZTgzPBDge0OvCGgMO3OY","Master of None","Beach House","Beach House",2006-10-03,199413,70,spotify:user:,2024-07-03T04:00:00Z,"art pop,baltimore indie,dream pop,dreamo,indie rock,indietronica,modern dream pop,pov: indie",0.492,0.344,5,-15.259,1,0.0259,0.674,0.531,0.0933,0.247,86.485,4
04uR2cdkgiaLIzebPcs25m,"2Jv5eshHtLycR6R8KQCdc4","Two Weeks","Veckatimest","Grizzly Bear",2009-05-24,246213,67,spotify:user:,2024-07-03T04:00:00Z,"art pop,baroque pop,brooklyn indie,indie rock,neo-synthpop,new weird america",0.526,0.723,5,-5.59,1,0.0294,0.3,0.00698,0.058,0.744,159.685,4
3HfhB8sYqLlVmpBPb7cc2x,"67hb7towEyKvt5Z8Bx306c","Walking On A Dream","Walking On A Dream","Empire Of The Sun",2008-01-01,198440,69,spotify:user:,2024-07-03T04:00:00Z,"australian dance,australian electropop,dance rock,indietronica,neo-synthpop",0.87,0.699,5,-5.541,0,0.0459,0.245,0.00000676,0.0588,0.727,126.967,4
1Ug5wxoHthwxctyWTUMGta,"1xU878Z1QtBldR7ru9owdU","1901","Wolfgang Amadeus Phoenix","Phoenix",2009-05-25,193106,71,spotify:user:,2024-07-03T04:00:00Z,"alternative dance,indie rock,modern rock,neo-synthpop,new rave,rock independant francais,shimmer pop",0.59,0.829,0,-5.649,1,0.0419,0.0601,0.0000399,0.19,0.704,144.099,4
0Ps4Eh6SQjeLnubbCsQTDD,"6oBm8HB0yfrIc9IHbxs6in","Little Bit","Youth Novels","Lykke Li",2008-06-02,273426,65,spotify:user:,2024-07-03T04:00:00Z,"art pop,electropop,indietronica,neo-synthpop,swedish electropop,swedish indie pop,swedish pop",0.819,0.736,7,-6.504,1,0.0416,0.158,0.00161,0.109,0.701,120.318,4
2RUhtNBh43RtSg0WBPPq3m,"1GLtl8uqKmnyCWxHmw9tL4","Naive","Inside In / Inside Out","The Kooks",2006-01-01,203506,64,spotify:user:,2024-07-03T04:00:00Z,"brighton indie,garage rock,modern rock,rock",0.547,0.816,8,-6.165,0,0.0624,0.0688,0,0.127,0.722,102.765,4
7fmJGzyvOcbh6UANsH8Cp6,"1xU878Z1QtBldR7ru9owdU","Lisztomania","Wolfgang Amadeus Phoenix","Phoenix",2009-05-25,241640,68,spotify:user:,2024-07-03T04:00:00Z,"alternative dance,indie rock,modern rock,neo-synthpop,new rave,rock independant francais,shimmer pop",0.64,0.789,0,-6.691,1,0.0359,0.0338,0.00388,0.53,0.311,97.539,4
